,title,subtitle,link
60,ON YOUR MARCS,Bielsa snubs jobs in Europe and South America as he waits on Prem club,https://www.thesun.co.uk/sport/21680334/bielsa-leeds-premier-league/
61,WHEELS IN MOTION,Ratcliffe confident of United takeover after hiring Brailsford to help bid,https://www.thesun.co.uk/sport/21684179/ratcliffe-man-utd-takeover-brailsford/
62,BONUS,Best no-deposit bonuses: Top no-deposit casinos for 2023,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
63,LIONS IN WAIT,How Man Utd could look like England as Harry Kane leads potential signings,https://www.thesun.co.uk/sport/21633552/man-utd-line-up-harry-kane-england/
64,SNUBBED,Arsenal one of several Premier League clubs REJECTED by 'next Suarez',https://www.thesun.co.uk/sport/21691280/arsenal-transfer-news-vitor-roque-snub/
65,LIN BUSINESS,Victor Lindelof wanted by Inter Milan in summer as asking price revealed,https://www.thesun.co.uk/sport/21682287/man-utd-victor-lindelof-transfer-inter/
66,TOP PICK,Spurs to launch cut-price Pickford bid as keeper has hidden clause in Everton deal,https://www.thesun.co.uk/sport/football/21680031/tottenham-transfer-jordan-pickford-england-everton/
67,BLADE RUNNER,Everton plot swoop for Sheffield United's Iliman Ndiaye along with Prem rivals,https://www.thesun.co.uk/sport/21681148/everton-transfer-sheffield-united-iliman-ndiaye-west-ham-newcastle/
68,MAN UTD LIVE,"De Jong LATEST, Palhinha EXCLUSIVE, Lindelof EXIT, United 'close in' on Ramos",https://www.thesun.co.uk/sport/21564391/man-utd-news-live-palhinha-ramos-de-jong-transfer/
69,GUNNERS LATEST,"Supercomputer's prediction, Osimhen race, next ""Luis Suarez"" snubs Gunners",https://www.thesun.co.uk/sport/21454224/arsenal-news-live-osimhen-psg-premier-league-transfer/
70,COMP,"Win a VW Campervan plus £1,000 or £40k cash from 89p with our discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
71,SEEING NOT BELIEVING,Guess these FIFA and PES players from their unrecognisable looks,https://www.thesun.co.uk/sport/21648469/fifa-pes-unrecognisable-footballers-ronaldo-messi/
72,KVARAT GOLD,Watch Kvaratskhelia score Maradona-esque goal as he embarrasses Atalanta,https://www.thesun.co.uk/sport/21682992/kvaratskhelia-goal-atalanta-napoli/
73,IT'S NUT ON,Roma vs Sassuolo descends into chaos as two players kick each other in GROIN,https://www.thesun.co.uk/sport/21687184/roma-sassuolo-kumbulla-berardi-red-card/
74,YERN FOR MORE,Mourinho bizarrely reveals he is 'jealous' of Bayern despite no link to Roma,https://www.thesun.co.uk/sport/21687800/jose-mourinho-bayern-munich-roma-jealous/
75,BRAGGING RIGHTS,Sunderland retain little-known trophy against Norwich after 1-0 win,https://www.thesun.co.uk/sport/21684502/sunderland-norwich-championship-friendship-trophy/
76,TIM VICKERY,Cruzeiro legend-turned owner Ronaldo booed by fans demanding the impossible,https://www.thesun.co.uk/sport/21691778/cruzeiro-ronaldo-fans-booed-transfers/
77,TROY DEENEY,Kane to PSG makes perfect sense - he can make Messi and Mbappe even better,https://www.thesun.co.uk/sport/21674801/harry-kane-tottenham-paris-saint-germain/
78,PIERS MORGAN,I spoke to Gary Lineker and his response proved to me he won't bow to the mob,https://www.thesun.co.uk/news/21649677/gary-lineker-tweet-piers-morgan/
79,REVENGE ACT,Shakira performs Pique diss track for first time in racy leather outfit,https://www.thesun.co.uk/sport/21678238/shakira-performs-pique-diss-track-first-time/
80,MODEL'S PRO,Loved-up Chelsea star Chilwell kisses stunning Aussie model girlfriend Cartia,https://www.thesun.co.uk/sport/21691505/chelsea-ben-chilwell-kisses-girlfriend-cartia-mallan/
81,GEOR DROPPING,Ronaldo's girlfriend Georgina treats fans to busty selfies as she does yoga,https://www.thesun.co.uk/sport/21676992/georgina-rodriguez-ronaldo-yoga-saudi/
